occ,occ1990dd,year
525,525,1980
526,526,1980
527,527,1980
529,527,1980
533,533,1980
534,534,1980
535,535,1980
536,536,1980
538,533,1980
539,539,1980
543,543,1980
544,544,1980
547,549,1980
549,549,1980
553,558,1980
554,558,1980
555,558,1980
556,558,1980
557,558,1980
558,558,1980
563,563,1980
564,563,1980
565,563,1980
566,563,1980
567,567,1980
569,567,1980
573,573,1980
575,575,1980
576,575,1980
577,577,1980
579,579,1980
583,583,1980
584,584,1980
585,585,1980
587,585,1980
588,588,1980
589,589,1980
593,593,1980
594,594,1980
595,595,1980
596,599,1980
597,597,1980
598,598,1980
599,599,1980
613,628,1980
614,614,1980
615,615,1980
616,616,1980
617,617,1980
633,628,1980
634,634,1980
635,634,1980
636,785,1980
637,637,1980
639,637,1980
643,643,1980
644,644,1980
645,645,1980
646,653,1980
647,535,1980
649,649,1980
653,653,1980
654,653,1980
655,634,1980
656,645,1980
657,657,1980
658,658,1980
659,658,1980
666,666,1980
667,666,1980
668,668,1980
669,669,1980
673,779,1980
674,669,1980
675,675,1980
676,645,1980
677,677,1980
678,678,1980
679,679,1980
683,785,1980
684,684,1980
686,686,1980
687,687,1980
688,688,1980
689,799,1980
693,779,1980
694,694,1980
695,695,1980
696,696,1980
699,699,1980
703,703,1980
704,703,1980
705,703,1980
706,706,1980
707,707,1980
708,708,1980
709,709,1980
713,713,1980
714,779,1980
715,779,1980
717,779,1980
719,719,1980
723,723,1980
724,724,1980
725,779,1980
726,733,1980
727,727,1980
728,729,1980
729,729,1980
733,733,1980
734,734,1980
735,734,1980
736,736,1980
737,734,1980
738,738,1980
739,739,1980
743,743,1980
744,744,1980
745,745,1980
747,747,1980
748,408,1980
749,749,1980
753,753,1980
754,754,1980
755,755,1980
756,756,1980
757,757,1980
758,755,1980
759,779,1980
763,763,1980
764,764,1980
765,765,1980
766,766,1980
768,769,1980
769,769,1980
773,467,1980
774,774,1980
777,779,1980
779,779,1980
783,783,1980
784,783,1980
785,785,1980
786,675,1980
787,675,1980
789,789,1980
793,675,1980
794,675,1980
795,675,1980
796,799,1980
797,799,1980
798,779,1980
799,799,1980
803,803,1980
804,804,1980
805,804,1980
806,804,1980
808,808,1980
809,809,1980
813,813,1980
814,809,1980
823,823,1980
824,824,1980
825,825,1980
826,824,1980
828,829,1980
829,829,1980
833,829,1980
834,834,1980
843,859,1980
844,844,1980
845,848,1980
848,848,1980
849,848,1980
853,853,1980
855,594,1980
856,804,1980
859,859,1980
863,628,1980
864,549,1980
865,865,1980
866,866,1980
867,218,1980
869,869,1980
873,873,1980
874,873,1980
875,875,1980
876,859,1980
877,889,1980
878,878,1980
883,889,1980
885,885,1980
887,887,1980
888,888,1980
889,889,1980
3,4,1990
4,4,1990
5,22,1990
6,418,1990
7,7,1990
8,8,1990
9,33,1990
13,13,1990
14,14,1990
15,15,1990
16,22,1990
17,22,1990
18,18,1990
19,19,1990
21,22,1990
22,22,1990
23,23,1990
24,24,1990
25,25,1990
26,26,1990
27,27,1990
28,28,1990
29,29,1990
33,33,1990
34,34,1990
35,35,1990
36,36,1990
37,37,1990
43,43,1990
44,44,1990
45,45,1990
46,47,1990
47,47,1990
48,48,1990
49,59,1990
53,53,1990
54,59,1990
55,55,1990
56,56,1990
57,57,1990
58,59,1990
59,59,1990
63,218,1990
64,64,1990
65,65,1990
66,66,1990
67,68,1990
